dataset,method,n_estimators,eta,cost_budget,accuracy,f1,AUC,recourse,validity,cost
FICO,OAF,100,0.04,0.2,0.7094813614262561,0.6921425504508373,0.7622883909025848,0.7423014586709886,0.5192743764172335,0.2159444983152288
FICO,OAF,100,0.08,0.2,0.7058346839546191,0.6928934010152284,0.7609228314178665,0.7880875202593193,0.593944099378882,0.1911298361782274
FICO,OAF,100,0.16,0.2,0.6908427876823339,0.6884442629644753,0.7579364922749853,0.8549432739059968,0.7024106400665004,0.15351220152351294
FICO,OAF,100,0.32,0.2,0.6717990275526742,0.6840873634945398,0.7517460875010524,0.9331442463533225,0.8483455882352942,0.11058582744667164
FICO,OAF,100,0.64,0.2,0.6580226904376013,0.6850746268656717,0.7425108008124948,0.9793354943273906,0.9475308641975309,0.07902574659443512
FICO,OAF,100,1.28,0.2,0.6377633711507293,0.6813970064148254,0.7317632688178834,0.9927066450567261,0.9787234042553191,0.06345914101653281
FICO,RABIT,100,0.01,0.2,0.7208265802269044,0.6914464845499328,0.7825155763239875,0.7163695299837926,0.5066948555320648,0.25164982365181654
FICO,RABIT,100,0.02,0.2,0.7208265802269044,0.6919982118909254,0.7821182748168729,0.8095623987034035,0.6678445229681979,0.1904995541235296
FICO,RABIT,100,0.04,0.2,0.7212317666126418,0.6931311329170383,0.7817137376862845,0.8857374392220422,0.8,0.12971016394109341
FICO,RABIT,100,0.08,0.2,0.7167747163695299,0.6908447589562141,0.7811822482529258,0.9189627228525121,0.8562185478073329,0.10302402361797389
FICO,RABIT,100,0.16,0.2,0.7167747163695299,0.6940919037199125,0.7802856887261092,0.9355753646677472,0.8836869056327725,0.09091977474329584
FICO,RABIT,100,0.32,0.2,0.7111021069692058,0.6935969058874086,0.7781518375852488,0.9517828200972447,0.910188679245283,0.08231624359617783
FICO,RABIT,100,0.64,0.2,0.7034035656401945,0.6947456213511259,0.7738709796244844,0.9720421393841167,0.9449760765550239,0.07105349699732744
